name,province,province_name,website,software,category,final_url,error
Beaverlodge Barracudas,AB,Alberta,https://www.beaverlodgebarracudas.ca,Amilia,Swim-specific,https://www.beaverlodgebarracudas.ca/,
Grande Prairie Aquarians,AB,Alberta,,No Website,No Website,,
High Level Stingrays,AB,Alberta,,No Website,No Website,,
High Prairie Dolphins,AB,Alberta,,No Website,No Website,,
Peace River Porpoises,AB,Alberta,,No Website,No Website,,
Slave Lake Sharks,AB,Alberta,,No Website,No Website,,
Smoky River Manatees,AB,Alberta,,No Website,No Website,,
Spirit River Seawolves,AB,Alberta,,No Website,No Website,,
Valleyview Vipers,AB,Alberta,,No Website,No Website,,
North Edmonton Swim Club,AB,Alberta,https://nescassa.wixsite.com/nesc,Wix,CMS / Website builder,https://nescassa.wixsite.com/nesc,
Spruce Grove Barracudas,AB,Alberta,https://www.sgbarracudas.ca,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cansgbsc/page/home,
St. Albert Sailfish,AB,Alberta,https://www.gomotionapp.com/team/cansas/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cansas/page/home,
Stony Plain Sharks,AB,Alberta,https://www.stonyplainsharks.com,GoMotion,Swim-specific,https://www.stonyplainsharks.com/,
Whitecourt Blue Dolphins,AB,Alberta,https://www.bluedolphins.ca,GoMotion,Swim-specific,https://www.bluedolphins.ca/page/home,
Camrose Sea Serpents,AB,Alberta,https://www.gomotionapp.com/team/abcss/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/abcss/page/home,
Fort Saskatchewan Piranhas,AB,Alberta,https://www.gomotionapp.com/team/assapsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/assapsc/page/home,
Edmonton Huma,AB,Alberta,https://www.humaswimclub.com,PoolQ,Swim-specific,https://www.humaswimclub.com/,
Lloydminster Rebels,AB,Alberta,https://www.gomotionapp.com/team/recablr/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/recablr/page/home,
Millennium Marlins,AB,Alberta,https://www.gomotionapp.com/team/canmmssc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canmmssc/page/home,
Vermilion Vipers,AB,Alberta,,No Website,No Website,,
Wainwright Torpedoes,AB,Alberta,https://www.gomotionapp.com/team/assawtsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/assawtsc/page/home,
Wetaskiwin Olympians,AB,Alberta,https://www.wetaskiwinolympians.com,Unknown / Custom,Unknown / Custom,https://www.wetaskiwinolympians.com/,
Forestburg Aquanauts,AB,Alberta,,No Website,No Website,,
Hanna Seals,AB,Alberta,,No Website,No Website,,
Ponoka Gators,AB,Alberta,https://www.ponokagators.com,Error,Error,https://www.ponokagators.com,"HTTPSConnectionPool(host='www.ponokagators.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.ponokagators.com', port=443): Failed to resolve 'www.ponokagators.com' ([Errno 11001] getaddrinfo failed)""))"
Red Deer Marlins,AB,Alberta,https://www.gomotionapp.com/team/assardm/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/assardm/page/home,
Calgary Swordfish,AB,Alberta,http://www.calgaryswordfish.com,Active Network,Sports management,http://www.calgaryswordfish.com/,
Canmore Coho,AB,Alberta,https://canmorecoho.swimtopia.com,SwimTopia,Swim-specific,https://canmorecoho.swimtopia.com/,
Cochrane Piranhas,AB,Alberta,https://cochranepiranhas.ca,SwimTopia,Swim-specific,https://www.cochranepiranhas.ca/,
Didsbury Aqua-Jets,AB,Alberta,https://didsburyaquajets.wixsite.com/aquajets,Wix,CMS / Website builder,https://didsburyaquajets.wixsite.com/aquajets,
Claresholm Kraken,AB,Alberta,https://www.gomotionapp.com/team/canassacksc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canassacksc/page/home,
Crowsnest Pass Piranhas,AB,Alberta,https://www.gomotionapp.com/team/assapass/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/assapass/page/home,
Fort MacLeod Swim Club,AB,Alberta,,No Website,No Website,,
Medicine Hat Manta Rays,AB,Alberta,https://www.gomotionapp.com/team/assamhssc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/assamhssc/page/home,
Nanton Marlins,AB,Alberta,https://www.nantonmarlins.com,Error,Error,https://www.nantonmarlins.com,"HTTPConnectionPool(host='www.teamunify.com', port=80): Read timed out. (read timeout=12)"
Pincher Creek Dolphins,AB,Alberta,,No Website,No Website,,
Taber Vipers,AB,Alberta,https://www.tabervipers.com,Google Sites,CMS / Website builder,https://www.tabervipers.com/,
CSCA,BC,British Columbia,https://www.csca.org,Unknown / Custom,Unknown / Custom,https://www.csca.org/,
Blue Aquatic Club,ON,Ontario,,No Website,No Website,,
Advent Swim Academy,,,https://adventswim.com,WordPress,CMS / Website builder,https://adventswim.com/,
Hyack Swim Club,BC,British Columbia,,No Website,No Website,,
Simon Fraser University,BC,British Columbia,https://athletics.sfu.ca/sports/swimming,Sidearm Sports,Sports management,https://athletics.sfu.ca/sports/swimming,
Arbutus Swim Team,BC,British Columbia,https://www.arbutusclub.com,Jonas Club Software,Sports management,https://www.arbutusclub.com/,
Olympians Swimming,BC,British Columbia,https://langleyolympians.com,PoolQ,Swim-specific,https://langleyolympians.com/,
Ridge Meadows Swim Club,BC,British Columbia,https://www.rmsctitans.ca,PoolQ,Swim-specific,https://www.rmsctitans.ca/,
Surrey Knights Swim Club,,,https://www.surreyknights.com,PoolQ,Swim-specific,https://www.surreyknights.com/,
Spartan Swim Club,BC,British Columbia,https://www.gomotionapp.com/team/canbcssc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canbcssc/page/home,
Cranbrook Tritons,BC,British Columbia,https://cranbrooktritons.com,PoolQ,Swim-specific,https://cranbrooktritons.com/,
Elk Valley Dolphins,BC,British Columbia,https://www.evdsc.com,PoolQ,Swim-specific,https://www.evdsc.com/,
Kitimat Marlins,BC,British Columbia,https://www.kmsc.poolq.net,PoolQ,Swim-specific,https://www.kmsc.poolq.net/,
Terrace Blueback Swim Club,BC,British Columbia,https://tbsc.poolq.net,PoolQ,Swim-specific,https://tbsc.poolq.net/,
Kelowna Aquajets,BC,British Columbia,https://www.kelownaaquajets.com,PoolQ,Swim-specific,https://www.kelownaaquajets.com/,
KISU Swim Club,BC,British Columbia,https://kisu.ca,GoMotion,Swim-specific,https://www.kisu.ca/page/home,
Canadian Dolphin Swim Club,BC,British Columbia,https://www.canadiandolphin.ca,Unknown / Custom,Unknown / Custom,https://www.canadiandolphin.ca/,
Chena Swim Club,,,https://www.chenaswimclub.ca,Unknown / Custom,Unknown / Custom,https://www.chenaswimclub.ca/,
Chinook Swim Club,BC,British Columbia,https://Chinook.pool.net,Unknown / Custom,Unknown / Custom,https://chinook.pool.net/,
Delta Sungod Swim Club,BC,British Columbia,https://www.teamsungod.ca,PoolQ,Swim-specific,https://www.teamsungod.ca/,
Hollyburn Swim Team,BC,British Columbia,https://HST.poolq.net,PoolQ,Swim-specific,https://hst.poolq.net/,
Richmond Rapids Swim Club,BC,British Columbia,https://www.richmondrapids.com,Unknown / Custom,Unknown / Custom,https://www.richmondrapids.com/,
Swim Faster Club,BC,British Columbia,https://www.swimfaster.ca,GoMotion,Swim-specific,https://www.swimfaster.ca/page/home,
University Of British Columbia,BC,British Columbia,https://gothunderbirds.ca,Sidearm Sports,Sports management,https://gothunderbirds.ca/,
Vancouver Pacific Swim Club,BC,British Columbia,https://vpsc.poolq.net,PoolQ,Swim-specific,https://vpsc.poolq.net/,
Winskill Dolphins,BC,British Columbia,https://www.winskilldolphins.ca,PoolQ,Swim-specific,https://www.winskilldolphins.ca/,
Wayland Swim Club,BC,British Columbia,https://www.gomotionapp.com/team/canwsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canwsc/page/home,
Whistler Seawolves Swim Club,BC,British Columbia,https://www.whistlerseawolves.com,Squarespace,CMS / Website builder,https://www.whistlerseawolves.com/,
Comox Valley Aquatic Club,,,,No Website,No Website,,
Island Swimming Club,BC,British Columbia,https://islandswimming.com,PoolQ,Swim-specific,https://www.islandswimming.com/,
Ladysmith/Chemainus,BC,British Columbia,https://lcsc.poolq.net,PoolQ,Swim-specific,https://lcsc.poolq.net/,
Nanaimo Riptides Swim Team,BC,British Columbia,https://nanaimoriptides.com,PoolQ,Swim-specific,https://www.nanaimoriptides.com/,
Ravensong Aquatic Club,BC,British Columbia,https://racbreakers.com,Error,Error,https://racbreakers.com,"HTTPSConnectionPool(host='racbreakers.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='racbreakers.com', port=443) at 0x1fe55118690>, 'Connection to racbreakers.com timed out. (connect timeout=12)'))"
UVIC VIKES Swim Team,BC,British Columbia,https://govikesgo.com,Sidearm Sports,Sports management,https://govikesgo.com/,
Pacific Coast Swimming,BC,British Columbia,https://www.pacificcoastswimming.com,PoolQ,Swim-specific,https://www.pacificcoastswimming.com/,
West Coast Wind,,,https://www.westcoastwind.ca,PoolQ,Swim-specific,https://www.westcoastwind.ca/,
Fredericton Aquanauts Swim Team,NB,New Brunswick,,No Website,No Website,,
